time,in or out
8:09:17,In
8:09:19,In
8:09:21,Out
8:09:22,In
8:09:22,Out
8:09:23,In
8:09:23,Out
8:09:23,In
8:09:23,Out
8:09:23,In
8:09:23,Out
8:09:23,In
8:09:23,In
8:09:24,Out
8:09:24,Out
8:09:24,In
8:09:25,In
8:09:25,Out
8:09:26,In
8:09:26,In
8:09:26,In
8:09:26,In
8:09:27,Out
8:09:27,Out
8:09:27,Out
8:09:28,Out
8:09:28,In
8:09:28,Out
8:09:29,In
8:09:30,Out
8:09:36,Out
8:09:36,Out
8:09:38,In
8:09:38,Out
8:09:38,In
8:09:39,Out
8:09:39,Out
8:09:40,In
8:09:40,In
8:09:41,Out
8:09:41,In
8:09:41,In
8:09:42,Out
8:09:42,In
8:09:42,Out
8:09:42,Out
8:09:42,In
8:09:42,Out
8:09:43,In
8:09:43,Out
8:09:43,In
8:09:43,Out
8:09:44,In
8:09:47,Out
8:09:47,In
8:09:48,Out
8:09:49,Out
8:09:49,Out
8:09:50,Out
8:09:50,Out
8:09:51,In
8:09:52,In
8:09:52,In
8:09:53,Out
8:09:54,Out
8:09:54,Out
8:09:56,Out
8:09:56,Out
8:09:57,In
8:09:57,In
8:09:57,In
8:09:58,In
8:09:58,In
8:09:59,Out
8:09:59,Out
8:10:00,Out
8:10:01,In
8:10:01,In
8:10:02,Out
8:10:02,Out
8:10:03,In
8:10:04,In
8:10:05,In
8:10:05,Out
8:10:05,Out
8:10:06,In
8:10:06,In
8:10:10,Out
8:10:10,Out
8:10:11,Out
8:10:13,Out
8:10:13,Out
8:10:13,Out
8:10:13,Out
8:10:13,In
8:10:14,In
8:10:14,In
8:10:14,Out
8:10:14,In
8:10:15,In
8:10:33,In
8:10:34,Out
8:10:34,Out
8:10:35,In
8:10:35,In
8:10:40,Out
8:10:45,Out
8:10:45,Out
8:10:51,Out
8:10:51,Out
8:10:52,Out
8:10:52,In
8:10:52,In
8:10:53,Out
8:10:53,Out
8:10:54,In
8:10:54,In
8:10:55,In
8:10:55,In
8:10:55,In
8:11:09,Out
8:11:10,Out
8:11:10,Out
8:11:10,Out
8:11:11,Out
8:11:11,Out
8:11:11,Out
8:11:12,In
8:11:13,In
8:11:20,Out
8:11:20,Out
8:11:21,Out
8:11:21,Out
8:11:23,Out
8:11:23,Out
8:11:24,Out
8:11:24,Out
8:11:27,In
8:11:31,Out
8:11:31,In
8:11:37,Out
8:11:37,Out
8:11:38,In
8:11:39,Out
8:11:39,In
8:11:40,In
8:11:40,In
8:11:40,In
8:11:41,In
8:11:41,In
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:42,In
8:11:43,In
8:11:49,In
8:11:51,In
8:11:51,In
8:11:53,In
8:11:58,Out
8:11:58,Out
8:11:58,In
8:12:00,Out
8:12:03,Out
8:12:06,In
8:12:09,Out
8:12:11,Out
8:12:11,In
8:12:11,In
8:12:12,In
8:12:12,In
8:12:14,Out
8:12:14,In
8:12:14,Out
8:12:14,In
8:12:14,In
8:12:15,In
8:12:15,Out
8:12:16,Out
8:12:16,In
8:12:16,In
8:12:16,In
8:12:16,In
8:12:17,In
8:12:19,Out
