time,in or out
8:05:13,Out
8:05:14,Out
8:05:15,Out
8:05:16,Out
8:05:16,Out
8:05:16,In
8:05:17,Out
8:05:18,Out
8:05:20,In
8:05:20,In
8:05:20,Out
8:05:20,Out
8:05:21,Out
8:05:22,Out
8:05:22,Out
8:05:23,In
8:05:23,In
8:05:24,In
8:05:24,In
8:05:24,Out
8:05:25,Out
8:05:26,Out
8:05:27,Out
8:05:29,Out
8:05:30,Out
8:05:31,Out
8:05:31,Out
8:05:32,Out
8:05:33,Out
8:05:33,Out
8:05:33,Out
8:05:33,Out
8:05:34,Out
8:05:34,Out
8:05:35,Out
8:05:35,Out
8:05:35,Out
8:05:36,Out
8:05:36,In
8:05:36,In
8:05:36,Out
8:05:36,Out
8:05:36,In
8:05:37,In
8:05:37,In
8:05:37,In
8:05:37,Out
8:05:38,Out
8:05:38,Out
8:05:39,Out
8:05:39,Out
8:05:40,Out
8:05:40,Out
8:05:40,Out
8:05:40,Out
8:05:40,Out
8:05:40,Out
8:05:41,Out
8:05:41,Out
8:05:41,Out
8:05:41,Out
8:05:41,Out
8:05:41,Out
8:05:42,In
8:05:42,Out
8:05:42,Out
8:05:42,In
8:05:43,Out
8:05:43,Out
8:05:43,Out
8:05:43,In
8:05:43,Out
8:05:44,Out
8:05:44,Out
8:05:44,Out
8:05:45,Out
8:05:47,Out
8:05:47,Out
8:05:47,Out
8:05:48,Out
8:05:48,Out
8:05:49,Out
8:05:50,Out
8:05:50,Out
8:05:50,In
8:05:50,Out
8:05:50,Out
8:05:51,Out
8:05:51,In
8:05:51,Out
8:05:51,Out
8:05:51,Out
8:05:52,In
8:05:52,Out
8:05:53,Out
8:05:53,In
8:05:53,Out
8:05:53,Out
8:05:53,Out
8:05:53,Out
8:05:54,Out
8:05:54,Out
8:05:54,Out
8:05:54,Out
8:05:55,Out
8:05:55,Out
8:05:55,Out
8:05:56,Out
8:05:57,Out
8:05:58,Out
8:05:58,Out
8:05:58,Out
8:05:58,Out
8:05:59,Out
8:05:59,Out
8:06:03,Out
8:06:04,Out
8:06:04,Out
8:06:04,In
8:06:04,In
8:06:04,Out
8:06:04,Out
8:06:05,In
8:06:05,In
8:06:05,Out
8:06:05,Out
8:06:05,In
8:06:06,In
8:06:06,Out
8:06:06,Out
8:06:06,Out
8:06:06,Out
8:06:07,Out
8:06:08,Out
8:06:09,Out
8:06:09,Out
8:06:12,Out
8:06:12,Out
8:06:13,Out
8:06:14,Out
8:06:17,Out
8:06:17,Out
8:06:18,In
8:06:18,In
8:06:18,Out
8:06:18,Out
8:06:18,Out
8:06:19,Out
8:06:19,Out
8:06:20,Out
8:06:20,Out
8:06:20,Out
8:06:21,Out
8:06:22,Out
8:06:22,Out
8:06:23,Out
8:06:23,Out
8:06:24,Out
8:06:24,Out
8:06:25,Out
8:06:27,Out
8:06:28,Out
8:06:29,Out
8:06:29,Out
8:06:32,Out
8:06:33,Out
8:06:36,Out
8:06:36,In
8:06:36,Out
8:06:37,Out
8:06:37,Out
8:06:37,In
8:06:37,Out
8:06:38,Out
8:06:38,Out
8:06:38,Out
8:06:39,Out
8:06:40,Out
8:06:40,In
8:06:40,In
8:06:40,Out
8:06:41,Out
8:06:41,Out
8:06:45,Out
8:06:45,Out
8:06:45,In
8:06:46,Out
8:06:47,Out
8:06:48,In
8:06:48,In
8:06:48,Out
8:06:49,Out
8:06:49,Out
8:06:50,Out
8:06:50,Out
8:06:50,Out
8:06:50,In
8:06:52,Out
8:06:52,Out
8:06:53,Out
8:06:53,Out
8:06:54,Out
8:06:54,Out
8:06:55,Out
8:06:55,Out
8:06:55,Out
8:06:55,Out
8:06:56,Out
8:06:56,Out
8:06:57,Out
8:06:58,Out
8:06:58,Out
8:06:58,Out
8:06:59,In
8:06:59,Out
8:06:59,In
8:07:00,In
8:07:00,Out
8:07:00,Out
8:07:01,In
8:07:02,Out
8:07:02,In
8:07:02,Out
8:07:02,Out
8:07:02,In
8:07:03,In
8:07:03,Out
8:07:03,Out
8:07:03,Out
8:07:03,Out
8:07:03,Out
8:07:03,In
8:07:04,In
8:07:04,In
8:07:05,In
8:07:05,Out
8:07:06,In
8:07:06,Out
8:07:07,Out
8:07:08,Out
8:07:08,Out
8:07:09,Out
8:07:11,Out
8:07:12,Out
8:07:12,Out
8:07:13,Out
8:07:14,Out
8:07:14,Out
8:07:15,Out
8:07:15,Out
8:07:15,Out
8:07:15,In
8:07:16,Out
8:07:16,Out
8:07:16,In
8:07:17,In
8:07:17,In
8:07:18,Out
8:07:20,Out
8:07:21,Out
8:07:21,Out
8:07:22,Out
8:07:23,Out
8:07:24,Out
8:07:25,Out
8:07:25,Out
8:07:25,Out
8:07:26,Out
8:07:28,Out
8:07:28,Out
8:07:28,Out
8:07:28,Out
8:07:28,Out
8:07:29,Out
8:07:30,Out
8:07:30,In
8:07:30,Out
8:07:34,Out
8:07:34,Out
8:07:37,Out
8:07:39,Out
8:07:40,In
8:07:40,Out
8:07:40,Out
8:07:41,Out
8:07:42,Out
8:07:42,Out
8:07:43,Out
8:07:43,Out
8:07:43,In
8:07:43,Out
8:07:43,Out
8:07:43,Out
8:07:45,Out
8:07:45,Out
8:07:45,Out
8:07:46,Out
8:07:47,Out
8:07:51,Out
8:07:51,Out
8:07:52,Out
8:07:52,Out
8:07:52,Out
8:07:53,Out
8:07:53,Out
8:07:53,Out
8:07:55,Out
8:07:56,Out
8:07:56,Out
8:07:56,Out
8:07:57,Out
8:07:57,Out
8:07:58,Out
8:08:00,Out
8:08:00,Out
8:08:00,In
8:08:00,In
8:08:00,In
8:08:01,Out
8:08:01,Out
8:08:04,Out
8:08:05,Out
8:08:06,Out
8:08:07,Out
8:08:07,Out
8:08:08,Out
8:08:10,In
8:08:10,In
8:08:10,In
8:08:10,In
8:08:11,Out
8:08:11,Out
8:08:11,Out
8:08:12,Out
8:08:13,Out
8:08:13,In
8:08:17,Out
8:08:17,Out
8:08:18,Out
8:08:18,Out
8:08:18,Out
8:08:19,Out
8:08:19,Out
8:08:20,Out
8:08:25,Out
8:08:25,In
8:08:25,Out
8:08:25,Out
8:08:25,In
8:08:27,Out
8:08:29,Out
8:08:31,Out
8:08:31,In
8:08:32,Out
8:08:34,Out
8:08:34,Out
8:08:35,Out
8:08:36,Out
8:08:36,Out
8:08:37,Out
8:08:37,Out
8:08:39,Out
8:08:39,Out
8:08:40,In
8:08:40,Out
8:08:40,Out
8:08:40,In
8:08:40,Out
8:08:41,Out
8:08:41,Out
8:08:42,Out
8:08:42,Out
8:08:43,Out
8:08:43,Out
8:08:43,Out
8:08:43,Out
8:08:44,Out
8:08:46,Out
8:08:47,Out
8:08:49,Out
8:08:50,Out
8:08:52,Out
8:08:53,Out
8:08:53,Out
8:08:53,Out
8:08:53,Out
8:08:55,Out
8:08:55,Out
8:08:57,Out
8:09:00,Out
8:09:03,Out
8:09:03,Out
8:09:03,Out
8:09:04,Out
8:09:05,Out
8:09:05,Out
8:09:06,Out
8:09:08,Out
8:09:09,Out
8:09:11,Out
8:09:11,Out
8:09:12,Out
8:09:12,Out
8:09:13,Out
8:09:13,Out
8:09:14,Out
8:09:14,Out
8:09:14,Out
8:09:14,Out
8:09:15,Out
8:09:15,Out
8:09:15,Out
8:09:15,Out
8:09:16,Out
8:09:16,In
8:09:17,In
8:09:17,Out
8:09:19,Out
8:09:19,Out
8:09:20,Out
8:09:21,Out
8:09:22,Out
8:09:23,Out
8:09:24,Out
8:09:24,Out
8:09:25,Out
8:09:25,Out
8:09:25,Out
8:09:26,Out
8:09:26,Out
8:09:27,Out
8:09:27,Out
8:09:27,Out
8:09:28,Out
8:09:28,Out
8:09:28,Out
8:09:28,Out
8:09:29,Out
8:09:29,Out
8:09:30,Out
8:09:31,In
8:09:31,Out
8:09:32,Out
8:09:33,Out
8:09:33,Out
8:09:34,Out
8:09:35,Out
8:09:35,Out
8:09:35,Out
8:09:36,Out
8:09:36,Out
8:09:36,Out
8:09:37,Out
8:09:37,Out
8:09:37,Out
8:09:37,Out
8:09:37,Out
8:09:38,Out
8:09:40,Out
8:09:41,Out
8:09:41,Out
8:09:41,In
8:09:42,Out
8:09:42,Out
8:09:42,Out
8:09:43,Out
8:09:44,Out
8:09:44,Out
8:09:45,Out
8:09:45,Out
8:09:45,Out
8:09:45,Out
8:09:45,Out
8:09:46,Out
8:09:46,Out
8:09:46,Out
8:09:47,Out
8:09:47,Out
8:09:48,Out
8:09:48,Out
8:09:49,Out
8:09:52,Out
8:09:54,Out
8:09:56,Out
8:09:57,In
8:09:57,Out
8:09:57,In
8:09:57,Out
8:09:58,Out
8:09:58,Out
8:09:58,Out
8:10:00,Out
8:10:00,Out
8:10:04,Out
8:10:04,Out
8:10:05,Out
8:10:05,Out
8:10:05,Out
8:10:06,Out
8:10:06,Out
8:10:07,Out
8:10:07,Out
8:10:07,Out
8:10:07,Out
8:10:07,Out
8:10:07,Out
8:10:09,Out
8:10:11,In
8:10:11,Out
8:10:11,Out
8:10:12,Out
8:10:12,Out
8:10:13,Out
8:10:13,Out
8:10:13,Out
8:10:13,Out
8:10:14,Out
8:10:15,In
8:10:15,Out
8:10:15,Out
8:10:15,Out
8:10:16,Out
8:10:16,In
8:10:17,Out
8:10:18,Out
8:10:18,Out
8:10:18,Out
8:10:18,Out
8:10:19,In
8:10:19,Out
8:10:19,Out
8:10:20,Out
8:10:21,Out
8:10:21,Out
8:10:21,Out
8:10:22,Out
8:10:22,In
8:10:23,Out
